Name,Name + ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Position
Dylan Drummond,Dylan Drummond (40059012),WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,ATL,0,WR
Nick Nash,Nick Nash (40059014),WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,ATL,0,WR
Chris Blair,Chris Blair (40059016),WR/FLEX,3000,ATL@CAR 09/21/2025 01:00PM ET,ATL,0,WR
Jayden Reed,Jayden Reed (40058734),WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,GB,6.75,WR
Jamari Thrash,Jamari Thrash (40058742),WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,CLE,1.55,WR
Christian Watson,Christian Watson (40058976),WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,GB,0,WR
Isaiah Neyor,Isaiah Neyor (40058978),WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,GB,0,WR
Will Sheppard,Will Sheppard (40058980),WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,GB,0,WR
Mecole Hardman,Mecole Hardman (40058982),WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,GB,0,WR
DeAndre Carter,DeAndre Carter (40058984),WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,CLE,0,WR
David Bell,David Bell (40058986),WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,CLE,0,WR
Cade McDonald,Cade McDonald (40058988),WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,CLE,0,WR
Kaden Davis,Kaden Davis (40058990),WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,CLE,0,WR
Malachi Corley,Malachi Corley (40058992),WR/FLEX,3000,GB@CLE 09/21/2025 01:00PM ET,CLE,0,WR
Justin Watson,Justin Watson (40058732),WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,HOU,3,WR
Tim Patrick,Tim Patrick (40058956),WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,JAX,0,WR
Joshua Cephus,Joshua Cephus (40058958),WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,JAX,0,WR
Austin Trammell,Austin Trammell (40058960),WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,JAX,0,WR
Erik Ezukanma,Erik Ezukanma (40058962),WR/FLEX,3000,HOU@JAX 09/21/2025 01:00PM ET,JAX,0,WR
