Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
128430-164504:Joey Estes,128430-164504,P,Joey,Joey Estes,Estes,5,3,5700,HOU@ATH,ATH,HOU,,,,,,P
128430-213867:Blas Castano,128430-213867,P,Blas,Blas Castano,Castano,3,1,5700,SEA@LAA,SEA,LAA,,,,,,P
128430-79117:Peter Lambert,128430-79117,P,Peter,Peter Lambert,Lambert,,0,5600,HOU@ATH,HOU,ATH,,,,,,P
128430-238917:Dylan Ray,128430-238917,P,Dylan,Dylan Ray,Ray,,0,5600,ATL@ARI,ARI,ATL,,,,,,P
128430-164511:Dylan Dodd,128430-164511,P,Dylan,Dylan Dodd,Dodd,5.678571429,28,5600,ATL@ARI,ATL,ARI,,,,,,P
128430-226310:Jose Fermin,128430-226310,P,Jose,Jose Fermin,Fermin,4.794871795,40,5500,SEA@LAA,LAA,SEA,,,,,,P
128430-178184:Kevin Herget,128430-178184,P,Kevin,Kevin Herget,Herget,6.428571429,7,5500,NYM@SF,NYM,SF,,,,,,P
128430-171020:Michael Kelly,128430-171020,P,Michael,Michael Kelly,Kelly,3.5,2,5500,HOU@ATH,ATH,HOU,,,,,,P
128430-135192:Ryan Thompson,128430-135192,P,Ryan,Ryan Thompson,Thompson,4.5,3,5500,ATL@ARI,ARI,ATL,,,,,,P
128430-102440:Mike Baumann,128430-102440,P,Mike,Mike Baumann,Baumann,,0,5500,NYM@SF,NYM,SF,,,,,,P
128430-82999:Scott Barlow,128430-82999,P,Scott,Scott Barlow,Barlow,4.666666667,3,5500,HOU@ATH,ATH,HOU,,,,,,P
128430-190516:Daysbel Hernandez,128430-190516,P,Daysbel,Daysbel Hernandez,Hernandez,5.052631579,39,5500,ATL@ARI,ATL,ARI,IL,Shoulder,,,,P
128430-172092:Garrett Hill,128430-172092,P,Garrett,Garrett Hill,Hill,,0,5500,SEA@LAA,SEA,LAA,,,,,,P
128430-240707:Tyler Bremner,128430-240707,P,Tyler,Tyler Bremner,Bremner,,0,5500,SEA@LAA,LAA,SEA,,,,,,P
128430-79936:Mark Leiter Jr.,128430-79936,P,Mark,Mark Leiter Jr.,Leiter Jr.,2.666666667,3,5500,HOU@ATH,ATH,HOU,,,,,,P
128430-104512:Geoff Hartlieb,128430-104512,P,Geoff,Geoff Hartlieb,Hartlieb,0.25,4,5500,HOU@ATH,ATH,HOU,,,,,,P
128430-102469:Ben Bowden,128430-102469,P,Ben,Ben Bowden,Bowden,3.454545455,11,5500,HOU@ATH,ATH,HOU,,,,,,P
128430-169030:Zach Jackson,128430-169030,P,Zach,Zach Jackson,Jackson,,0,5500,HOU@ATH,ATH,HOU,,,,,,P
128430-11333:Craig Kimbrel,128430-11333,P,Craig,Craig Kimbrel,Kimbrel,5.571428571,14,5500,NYM@SF,NYM,SF,,,,,,P
128430-135237:Nick Mears,128430-135237,P,Nick,Nick Mears,Mears,7.5,2,5500,MIL@KC,KC,MIL,,,,,,P
128430-240715:Gage Jump,128430-240715,P,Gage,Gage Jump,Jump,,0,5500,HOU@ATH,ATH,HOU,,,,,,P
128430-240713:Kade Anderson,128430-240713,P,Kade,Kade Anderson,Anderson,,0,5500,SEA@LAA,SEA,LAA,,,,,,P
128430-102474:Eli Morgan,128430-102474,P,Eli,Eli Morgan,Morgan,0.571428571,7,5500,MIL@KC,KC,MIL,,,,,,P
128430-240712:Jamie Arnold,128430-240712,P,Jamie,Jamie Arnold,Arnold,,0,5500,HOU@ATH,ATH,HOU,,,,,,P
128430-240719:JR Ritchie,128430-240719,P,JR,JR Ritchie,Ritchie,,0,5500,ATL@ARI,ATL,ARI,,,,,,P
128430-102479:Lincoln Henzman,128430-102479,P,Lincoln,Lincoln Henzman,Henzman,,0,5500,HOU@ATH,ATH,HOU,,,,,,P
128430-135249:Bryce Jarvis,128430-135249,P,Bryce,Bryce Jarvis,Jarvis,7.909090909,12,5500,ATL@ARI,ARI,ATL,,,,,,P
128430-161907:Dylan Lee,128430-161907,P,Dylan,Dylan Lee,Lee,6,3,5500,ATL@ARI,ATL,ARI,,,,,,P
128430-102515:Aaron Ashby,128430-102515,P,Aaron,Aaron Ashby,Ashby,13.25,4,5500,MIL@KC,MIL,KC,,,,,,P
128430-159857:Jose Marte,128430-159857,P,Jose,Jose Marte,Marte,,0,5500,NYM@SF,NYM,SF,DTD,Shoulder,,,,P
128430-85108:Enyel De Los Santos,128430-85108,P,Enyel,Enyel De Los Santos,De Los Santos,5.225806452,65,5500,HOU@ATH,HOU,ATH,IL,Knee,,,,P
128430-231540:Houston Roth,128430-231540,P,Houston,Houston Roth,Roth,,0,5500,SEA@LAA,SEA,LAA,,,,,,P
128430-13438:Drew Pomeranz,128430-13438,P,Drew,Drew Pomeranz,Pomeranz,2.333333333,3,5500,SEA@LAA,LAA,SEA,,,,,,P
128430-201853:Ryan Loutos,128430-201853,P,Ryan,Ryan Loutos,Loutos,1.363636364,12,5500,SEA@LAA,SEA,LAA,,,,,,P
128430-187521:Joe Jacques,128430-187521,P,Joe,Joe Jacques,Jacques,,0,5500,NYM@SF,NYM,SF,,,,,,P
128430-116868:Gabe Speier,128430-116868,P,Gabe,Gabe Speier,Speier,3.333333333,3,5500,SEA@LAA,SEA,LAA,,,,,,P
128430-135306:Cole Wilcox,128430-135306,P,Cole,Cole Wilcox,Wilcox,10.5,2,5500,SEA@LAA,SEA,LAA,,,,,,P
128430-114827:John Schreiber,128430-114827,P,John,John Schreiber,Schreiber,3,3,5500,MIL@KC,KC,MIL,,,,,,P
128430-135313:Nick Sandlin,128430-135313,P,Nick,Nick Sandlin,Sandlin,4.473684211,19,5500,SEA@LAA,LAA,SEA,,,,,,P
128430-102549:Andres Munoz,128430-102549,P,Andres,Andres Munoz,Munoz,4.5,2,5500,SEA@LAA,SEA,LAA,,,,,,P
128430-38043:Enny Romero,128430-38043,P,Enny,Enny Romero,Romero,,0,5500,NYM@SF,SF,NYM,,,,,,P
128430-102558:Gregory Santos,128430-102558,P,Gregory,Gregory Santos,Santos,1.875,8,5500,NYM@SF,SF,NYM,,,,,,P
128430-232618:Taylor Rashi,128430-232618,P,Taylor,Taylor Rashi,Rashi,9.1,10,5500,ATL@ARI,ARI,ATL,,,,,,P
128430-83116:Wander Suero,128430-83116,P,Wander,Wander Suero,Suero,3.2,5,5500,HOU@ATH,ATH,HOU,,,,,,P
128430-145591:Eduard Bazardo,128430-145591,P,Eduard,Eduard Bazardo,Bazardo,3.333333333,3,5500,SEA@LAA,SEA,LAA,,,,,,P
128430-145593:Carlos Vargas,128430-145593,P,Carlos,Carlos Vargas,Vargas,4.460526316,76,5500,SEA@LAA,SEA,LAA,IL,Lat,,,,P
128430-102590:Joey Gerber,128430-102590,P,Joey,Joey Gerber,Gerber,11,2,5500,NYM@SF,NYM,SF,,,,,,P
128430-102593:Gerardo Carrillo,128430-102593,P,Gerardo,Gerardo Carrillo,Carrillo,,0,5500,ATL@ARI,ARI,ATL,,,,,,P
128430-145610:Angel Zerpa,128430-145610,P,Angel,Angel Zerpa,Zerpa,5,3,5500,MIL@KC,MIL,KC,,,,,,P
128430-194770:Nick Hernandez,128430-194770,P,Nick,Nick Hernandez,Hernandez,5.222222222,10,5500,HOU@ATH,ATH,HOU,,,,,,P
128430-83154:Miguel Del Pozo,128430-83154,P,Miguel,Miguel Del Pozo,Del Pozo,,0,5500,NYM@SF,SF,NYM,,,,,,P
