Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total,Rounds,Scrambling
adrien saddier,-0.59,0.3,0.83,-0.13,-0.71,2,0.6
adrien saddier,-1.88,-2.11,0.8,-2.29,-4.16,3,0.0
adrien saddier,-0.71,0.54,-0.74,1.4,0.69,4,0.6667
john vanderlaan,1.76,0.51,0.48,1.12,2.89,1,0.5
john vanderlaan,0.95,-1.82,1.38,-2.67,-1.71,2,0.1667
john vanderlaan,-1.91,0.52,0.14,1.74,-0.16,3,0.6667
john vanderlaan,0.2,-1.61,-0.27,-2.51,-2.31,4,0.5
gary woodland,-0.84,0.69,1.37,2.73,1.89,1,0.8
gary woodland,3.49,0.04,-1.42,-4.21,-0.71,2,0.6667
gary woodland,-2.54,-0.64,0.44,-0.62,-3.16,3,0.6667
gary woodland,0.36,-1.8,0.85,-0.67,-0.32,4,0.2
davis thompson,0.03,-0.25,0.78,1.86,1.89,1,0.5
davis thompson,1.73,0,0.55,0.56,2.29,2,1.0
davis thompson,-2.71,0.24,-0.52,-0.45,-3.16,3,0.6667
davis thompson,-2.08,-1.36,0.64,-1.24,-3.31,4,0.28
max homa,0.54,-0.02,0.26,1.34,1.89,1,0.75
max homa,0.73,1.03,0.04,1.56,2.29,2,0.6667
max homa,-1.02,-1.47,-1.21,-4.14,-5.16,3,0.5714
max homa,0.64,-0.64,-1.1,-2.96,-2.31,4,0.7143
chandler phillips,3.44,-1.14,0.43,-1.55,1.89,1,0.6667
chandler phillips,2.57,-1.06,-1.33,-0.28,2.29,2,0.6667
chandler phillips,0.9,0.08,-1.58,-4.06,-3.16,3,0.6667
chandler phillips,2.57,-1.68,-1.08,-6.89,-4.32,4,0.6364
bud cauley,0.56,0.48,-0.81,0.33,0.89,1,0.7143
bud cauley,-3.15,0.75,0.18,2.43,-0.71,2,0.3333
bud cauley,-2.1,0.24,0.14,2.94,0.84,3,0.6
bud cauley,-3.26,-2.43,0.59,-2.05,-5.32,4,0.2857
hank lebioda,0.76,-0.46,0.89,0.13,0.89,1,0.5
hank lebioda,-2.16,-0.45,0.38,1.45,-0.71,2,0.6
