Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Scrambling,Rounds
justin rose,0.45,2.16,1.11,-1.46,1.81,2.26,0.8333,1
justin rose,0.78,0.71,-0.55,-1.33,-1.17,-0.39,0.375,2
justin rose,1.13,0.14,3.32,0.42,3.88,5,0.5,3
justin rose,0.66,1.65,-0.19,-0.51,0.95,1.61,0.8571,4
kurt kitayama,-0.95,0.85,1.34,1.02,3.21,2.26,0.6,1
kurt kitayama,0.67,2.52,-0.32,0.73,2.94,3.61,0.75,2
kurt kitayama,-1.9,-3.85,-1.04,1.79,-3.1,-5,0.1429,3
kurt kitayama,5.23,0.8,1.14,0.44,2.38,7.61,1,4
chris gotterup,-0.28,-0.46,-0.25,1.26,0.54,0.26,0.1667,1
chris gotterup,2.71,0.97,3.15,0.78,4.9,7.61,1,2
chris gotterup,0.72,-0.98,-1.2,0.46,-1.72,-1,0.6667,3
chris gotterup,-0.21,0.1,0.03,1.69,1.82,1.61,1,4
matt fitzpatrick,-0.38,1.58,1.05,0.01,2.64,2.26,1,1
matt fitzpatrick,-1.85,0.91,1.09,0.47,2.46,0.61,0.6,2
matt fitzpatrick,-0.79,0.95,-0.47,-0.69,-0.21,-1,0.4444,3
matt fitzpatrick,3.98,0.18,0.8,0.64,1.63,5.61,1,4
scottie scheffler,3.37,0.07,0.57,1.25,1.89,5.26,0.8,1
scottie scheffler,-1.5,0.02,3.03,0.06,3.11,1.61,0.4,2
scottie scheffler,-2.29,-0.24,0.21,1.33,1.29,-1,0.6,3
scottie scheffler,-1.26,0.28,1.54,1.05,2.87,1.61,0.5,4
ben griffin,2.64,-0.44,-0.74,-0.21,-1.38,1.26,0.4286,1
ben griffin,0.69,1.47,-1.04,1.48,1.92,2.61,0.6,2
ben griffin,0.54,1.42,1.03,0.02,2.46,3,0.6667,3
