Player,SG Putting,SG Around Green,SG Approach,SG Off The Tee,SG Tee To Green,SG Total,Rounds,Scrambling
kurt kitayama,-0.05,-0.87,-1.13,0.42,-1.59,-1.64,2,0.625
kurt kitayama,0.25,-2.25,1.51,0.74,0.01,0.26,3,0.8
kurt kitayama,0.69,-0.56,-0.4,0.71,-0.25,0.44,4,0.8517
jhonattan vegas,1.53,2.97,0.62,-0.31,3.28,4.81,1,0.8
jhonattan vegas,-2.2,-0.79,-0.6,-0.05,-1.44,-3.64,2,0.5
jhonattan vegas,1.41,0.52,-0.35,0.69,0.85,2.26,3,0.8
jhonattan vegas,-0.05,-2.21,1.47,-0.77,-1.51,-1.56,4,0.4286
bud cauley,1.76,1.16,0.05,-0.15,1.05,2.81,1,0.8571
bud cauley,1.44,0.09,-0.88,0.71,-0.07,1.36,2,0.6667
bud cauley,-0.22,-0.33,0.99,-0.18,0.48,0.26,3,0.6
bud cauley,-2.47,0.2,0.09,-0.38,-0.09,-2.56,4,0.5714
jacob bridgeman,0.56,-1.14,-0.27,-2.35,-3.76,-3.19,1,0.4444
jacob bridgeman,2.71,0.12,-0.52,1.05,0.65,3.36,2,0.875
jacob bridgeman,0.32,-0.43,1.1,1.26,1.94,2.26,3,1.0
jacob bridgeman,0.3,-0.32,-1.28,0.74,-0.86,-0.56,4,0.7143
max greyserman,1.03,-3.21,0.66,-0.67,-3.23,-2.19,1,0.375
max greyserman,4.63,-0.48,2.15,-3.93,-2.26,2.36,2,0.3333
max greyserman,-0.59,-0.03,-0.41,-1.7,-2.15,-2.74,3,0.5714
max greyserman,1.91,1.33,0.81,0.39,2.53,4.44,4,0.6667
chris gotterup,-1.54,0.63,3,0.72,4.35,2.81,1,0.75
chris gotterup,-0.37,0.99,0.42,0.32,1.73,1.36,2,0.5714
chris gotterup,1.52,0.22,-0.34,0.86,0.74,2.26,3,0.8333
chris gotterup,0.74,-1.38,-1.76,-2.16,-5.3,-4.56,4,0.6667
alex noren,-1.72,-0.19,1.74,-0.02,1.52,-0.19,1,0.7143
alex noren,0.58,0.21,-1.07,0.64,-0.22,0.36,2,0.7143
alex noren,1.37,2.01,-0.72,-0.4,0.89,2.26,3,0.6667
alex noren,-1.46,-0.42,0.16,0.17,-0.1,-1.56,4,0.7143
scottie scheffler,0.27,0.55,0.42,0.56,1.54,1.81,1,0.75
scottie scheffler,0.11,-0.24,0.48,1.02,1.25,1.36,2,0.7143
scottie scheffler,-0.93,2.87,-2.27,-0.41,0.19,-0.74,3,0.5556
scottie scheffler,0.01,-0.26,-1.43,0.12,-1.57,-1.56,4,0.25
xander schauffele,2.51,1.29,-0.03,0.03,1.3,3.81,1,1.0
xander schauffele,-1.95,1.11,1.34,0.87,3.31,1.36,2,0.5
xander schauffele,-0.66,-1.26,0.15,0.04,-1.08,-1.74,3,0.7143
xander schauffele,-0.4,0.06,-0.81,-1.41,-2.16,-2.56,4,0.6
patrick rodgers,1.93,-1.19,-0.81,-0.12,-2.12,-0.19,1,0.6667
patrick rodgers,0.07,-1.03,0.5,-0.18,-0.7,-0.64,2,0.6667
patrick rodgers,1.08,0.76,1.26,0.15,2.17,3.26,3,0.75
patrick rodgers,-1.64,-0.36,1.37,-0.92,0.08,-1.56,4,0.4
robert macintyre,-0.79,0.35,-0.66,0.91,0.59,-0.19,1,0.7778
robert macintyre,1.77,-0.6,-2.05,1.24,-1.41,0.36,2,0.5556
robert macintyre,-0.68,0.28,-1.07,0.72,-0.06,-0.74,3,0.75
robert macintyre,1.52,-0.1,-1.67,1.69,-0.08,1.44,4,0.8333
lucas glover,0.68,0.03,0.18,-2.08,-1.87,-1.19,1,0.8889
lucas glover,-1.88,-0.32,1.5,0.06,1.24,-0.64,2,0.5714
lucas glover,0.17,1.0,0.77,-0.68,1.09,1.26,3,0.5714
lucas glover,0.28,2.75,-2.2,0.62,1.17,1.44,4,0.6667
harris english,0.7,1.38,0.57,0.15,2.1,2.81,1,0.4
harris english,1.07,-0.29,-0.69,0.27,-0.71,0.36,2,0.6667
harris english,-1.36,-0.46,0.39,0.69,0.63,-0.74,3,0.5714
harris english,0.94,-2.28,0.19,-0.41,-2.5,-1.56,4,0.375
ryan fox,0.59,1.52,1.52,0.17,3.21,3.81,1,0.875
ryan fox,0.17,0.45,-0.68,0.42,0.19,0.36,2,0.8889
ryan fox,-1.99,-1.2,-0.11,-0.44,-1.75,-3.74,3,0.5
ryan fox,0.41,0.43,-1.53,1.13,0.03,0.44,4,0.8571
nicolai hojgaard,-0.11,0.64,-0.09,-0.63,-0.08,-0.19,1,0.7143
nicolai hojgaard,0.59,-0.91,-0.78,0.46,-1.23,-0.64,2,0.75
nicolai hojgaard,0.59,0.65,-0.75,0.78,0.67,1.26,3,1.0
nicolai hojgaard,-1.26,-0.23,0.88,1.05,1.7,0.44,4,0.7143
corey conners,0.22,0.72,0.81,1.07,2.59,2.81,1,1.0
corey conners,-2.19,-0.74,0.3,0.99,0.56,-1.64,2,0.4
corey conners,-2.45,-0.13,2.5,-0.66,1.71,-0.74,3,0.25
corey conners,-0.92,0.64,0.12,-0.4,0.36,-0.56,4,0.625
michael kim,-2.22,-1.1,-0.41,0.53,-0.98,-3.19,1,0.4286
