Player,SG Putting,SG Around Green,SG Approach,SG Tee To Green,SG Total,Rounds,Scrambling
jimmy stanger,-0.73,0.12,0.59,1.5,0.76,1,0.5714
jimmy stanger,-0.59,1.34,0.96,1.28,0.69,2,0.8
jimmy stanger,3.28,0.03,-0.7,-2.23,1.05,3,0.8889
jimmy stanger,-0.81,-0.51,1.85,1.51,0.7,4,0.6667
patrick rodgers,1.55,-0.12,-0.48,-0.79,0.76,1,0.625
patrick rodgers,0.8,-2.02,-0.76,-1.11,-0.31,2,0.625
patrick rodgers,1.31,-0.41,-0.09,1.74,3.05,3,0.8
patrick rodgers,-0.53,-0.21,-0.34,-0.77,-1.3,4,0.75
matti schmid,0.36,-1.3,0,-1.6,-1.24,1,0.5556
matti schmid,-1.14,1.17,-0.43,2.84,1.69,2,1.0
matti schmid,-1.74,0.81,0.96,0.79,-0.95,3,0.4256
matti schmid,2.52,-0.12,-1.66,0.18,2.7,4,0.875
doug ghim,0.86,2,0.06,2.9,3.76,1,0.8333
doug ghim,1.97,0.79,0.35,2.73,4.69,2,0.6667
doug ghim,-2.65,-0.76,0.9,-1.29,-3.95,3,0.6
doug ghim,-1.13,1.57,-0.91,-1.17,-2.3,4,0.7273
matt wallace,-3.63,-0.21,1.5,2.39,-1.24,1,0.8333
matt wallace,0.93,0.25,0.44,2.77,3.69,2,1.0
matt wallace,2.52,-1.08,0.64,-1.47,1.05,3,0.625
matt wallace,-0.78,-0.61,-0.67,-0.52,-1.3,4,0.7143
davis chatfield,0.73,1.41,0.83,2.04,2.76,1,0.875
davis chatfield,1.04,-1.31,-0.52,-3.35,-2.31,2,0.6
davis chatfield,-1.48,1.8,-0.18,4.53,3.05,3,1.0
davis chatfield,-1.24,-0.16,0.49,-0.06,-1.3,4,0.6667
blades brown,2.24,-0.55,-0.2,0.52,2.76,1,0.1429
blades brown,-0.7,-0.83,0.98,1.4,0.69,2,0.75
blades brown,-0.17,-0.58,-0.09,-1.77,-1.95,3,0.0
blades brown,-0.85,-0.69,-0.46,1.56,0.7,4,0.0
